sample_index,time_s,voltage_mV
717,1.434,2.38938
718,1.436,2.38454
719,1.438,2.39099
720,1.44,2.39421
721,1.442,2.4063
722,1.444,2.40711
723,1.446,2.40711
724,1.448,2.39905
725,1.45,2.40952
726,1.452,2.41033
727,1.454,2.40952
728,1.456,2.41275
729,1.458,2.41839
730,1.46,2.40791
731,1.462,2.4063
732,1.464,2.40791
733,1.466,2.39824
734,1.468,2.39341
735,1.47,2.38535
736,1.472,2.39421
737,1.474,2.38293
738,1.476,2.39744
739,1.478,2.37971
740,1.48,2.38696
741,1.482,2.39421
742,1.484,2.39663
743,1.486,2.40388
744,1.488,2.4063
745,1.49,2.40066
746,1.492,2.40227
747,1.494,2.42081
748,1.496,2.41919
749,1.498,2.42645
750,1.5,2.42242
751,1.502,2.42564
752,1.504,2.44418
753,1.506,2.44095
754,1.508,2.43209
755,1.51,2.42806
756,1.512,2.43289
757,1.514,2.43531
758,1.516,2.42161
759,1.518,2.42403
760,1.52,2.42645
761,1.522,2.41758
762,1.524,2.41275
763,1.526,2.40711
764,1.528,2.40549
765,1.53,2.41436
766,1.532,2.40872
767,1.534,2.41678
768,1.536,2.41516
769,1.538,2.42161
770,1.54,2.43128
771,1.542,2.41839
772,1.544,2.40872
773,1.546,2.42
774,1.548,2.40549
775,1.55,2.40469
776,1.552,2.42403
777,1.554,2.42564
778,1.556,2.43048
779,1.558,2.42564
780,1.56,2.43451
781,1.562,2.42484
782,1.564,2.42403
783,1.566,2.42161
784,1.568,2.42564
785,1.57,2.42161
786,1.572,2.41597
787,1.574,2.40952
788,1.576,2.42
789,1.578,2.42645
790,1.58,2.42081
791,1.582,2.43209
792,1.584,2.41919
793,1.586,2.41758
794,1.588,2.41919
795,1.59,2.42725
796,1.592,2.42242
797,1.594,2.42806
798,1.596,2.42725
799,1.598,2.43692
800,1.6,2.43128
801,1.602,2.4474
802,1.604,2.44659
803,1.606,2.4474
804,1.608,2.44498
805,1.61,2.43692
806,1.612,2.43209
807,1.614,2.42564
808,1.616,2.42806
809,1.618,2.43128
810,1.62,2.43531
811,1.622,2.44659
812,1.624,2.43934
813,1.626,2.43612
814,1.628,2.43853
815,1.63,2.44176
816,1.632,2.44498
817,1.634,2.44982
818,1.636,2.45788
819,1.638,2.45304
820,1.64,2.46674
821,1.642,2.46916
822,1.644,2.46835
823,1.646,2.45788
824,1.648,2.46916
825,1.65,2.47077
826,1.652,2.4893
